euctr_id,other_id,field,provenance
2011-000553-23,NA,other,protocol
2011-000553-23,NA,US NCT number,results
2011-000553-23,NA,ISRCTN number,results
2011-003006-25,NCT01436162,US NCT number,protocol
2011-003006-25,NA,other,protocol
2011-003006-25,NCT01436162,US NCT number,results
2011-003006-25,NA,ISRCTN number,results
2011-004304-38,NCT01439958,US NCT number,protocol
2011-004304-38,NA,other,protocol
2011-004304-38,NA,US NCT number,results
2011-004304-38,NA,ISRCTN number,results
2010-022054-16,NA,US NCT number,protocol
2010-022054-16,NA,other,protocol
2010-022054-16,NCT01453179,US NCT number,results
2010-022054-16,NA,ISRCTN number,results
2011-002257-61,NA,US NCT number,protocol
2011-002257-61,NA,other,protocol
2011-002257-61,NCT01466179,US NCT number,results
2011-002257-61,NA,ISRCTN number,results
2011-000475-14,NA,US NCT number,protocol
2011-000475-14,NA,other,protocol
2011-000475-14,NA,US NCT number,results
2011-000475-14,NA,ISRCTN number,results
2010-021775-80,NA,US NCT number,protocol
2010-021775-80,NA,other,protocol
2010-021775-80,NCT01466465,US NCT number,results
2010-021775-80,NA,ISRCTN number,results
2010-024264-18,NCT01471782,US NCT number,protocol
2010-024264-18,NA,other,protocol
2010-024264-18,NCT01471782,US NCT number,results
2010-024264-18,NA,ISRCTN number,results
2011-001507-13,NA,US NCT number,protocol
2011-001507-13,NA,other,protocol
2011-001507-13,NCT01472029,US NCT number,results
2011-001507-13,NA,ISRCTN number,results
2011-004388-62,NCT01472939,US NCT number,protocol
2011-004388-62,NA,other,protocol
2011-004388-62,NA,US NCT number,results
2011-004388-62,NA,ISRCTN number,results
2011-004483-30,NCT01475838,US NCT number,protocol
2011-004483-30,NA,other,protocol
2011-004483-30,NCT01475838,US NCT number,results
2011-004483-30,NA,ISRCTN number,results
2011-004963-56,NCT01495702,US NCT number,protocol
2011-004963-56,NA,other,protocol
2011-004963-56,NCT01495702,US NCT number,results
2011-004963-56,NA,ISRCTN number,results
2010-024379-15,NA,US NCT number,protocol
2010-024379-15,NA,other,protocol
2010-024379-15,NCT01503372,US NCT number,results
2010-024379-15,NA,ISRCTN number,results
2010-024111-13,NA,US NCT number,protocol
2010-024111-13,NA,other,protocol
2010-024111-13,NA,US NCT number,results
2010-024111-13,NA,ISRCTN number,results
2010-023384-18,NCT01504347,US NCT number,protocol
2010-023384-18,NA,other,protocol
2010-023384-18,NA,US NCT number,results
2010-023384-18,NA,ISRCTN number,results
2009-011898-33,NA,US NCT number,protocol
2009-011898-33,DKSR StudienID: 588,other,protocol
2009-011898-33,NA,US NCT number,results
2009-011898-33,NA,ISRCTN number,results
2011-001138-40,NA,US NCT number,protocol
2011-001138-40,NA,other,protocol
2011-001138-40,NCT01521715,US NCT number,results
2011-001138-40,NA,ISRCTN number,results
2011-002947-83,NCT01522612,US NCT number,protocol
2011-002947-83,NA,other,protocol
2011-002947-83,NA,US NCT number,results
2011-002947-83,NA,ISRCTN number,results
2010-023237-37,NA,US NCT number,protocol
2010-023237-37,NA,other,protocol
2010-023237-37,NCT01534455,US NCT number,results
2010-023237-37,NA,ISRCTN number,results
2010-021719-18,NA,US NCT number,protocol
2010-021719-18,NA,other,protocol
2010-021719-18,NA,US NCT number,results
2010-021719-18,NA,ISRCTN number,results
2011-005180-24,NA,US NCT number,protocol
2011-005180-24,NA,other,protocol
2011-005180-24,NCT01539512,US NCT number,results
2011-005180-24,NA,ISRCTN number,results
2006-002516-10,NA,US NCT number,protocol
2006-002516-10,NA,other,protocol
2006-002516-10,NA,US NCT number,results
2006-002516-10,NA,ISRCTN number,results
2009-017485-23,NCT01548677,US NCT number,protocol
2009-017485-23,NA,other,protocol
2009-017485-23,NCT01548677,US NCT number,results
2009-017485-23,NA,ISRCTN number,results
2011-002472-16,NA,US NCT number,protocol
2011-002472-16,NA,other,protocol
2011-002472-16,NA,US NCT number,results
2011-002472-16,NA,ISRCTN number,results
2007-000479-40,NA,US NCT number,protocol
2007-000479-40,NA,other,protocol
2007-000479-40,NA,US NCT number,results
2007-000479-40,NA,ISRCTN number,results
2010-019748-38,NA,US NCT number,protocol
2010-019748-38,NA,other,protocol
2010-019748-38,NCT01553032,US NCT number,results
2010-019748-38,NA,ISRCTN number,results
2009-012957-39,NA,US NCT number,protocol
2009-012957-39,NA,other,protocol
2009-012957-39,NA,US NCT number,results
2009-012957-39,NA,ISRCTN number,results
2011-004770-28,NA,US NCT number,protocol
2011-004770-28,NA,other,protocol
2011-004770-28,NA,US NCT number,results
2011-004770-28,NA,ISRCTN number,results
2011-000756-42,NA,US NCT number,protocol
2011-000756-42,NP NP,other,protocol
2011-000756-42,NA,US NCT number,results
2011-000756-42,NA,ISRCTN number,results
2011-002192-41,NA,US NCT number,protocol
2011-002192-41,NA,other,protocol
2011-002192-41,NA,US NCT number,results
2011-002192-41,NA,ISRCTN number,results
2011-003412-23,NA,US NCT number,protocol
2011-003412-23,NA,other,protocol
2011-003412-23,NA,US NCT number,results
2011-003412-23,NA,ISRCTN number,results
2011-005018-13,NA,US NCT number,protocol
2011-005018-13,NA,other,protocol
2011-005018-13,NCT01600014,US NCT number,results
2011-005018-13,NA,ISRCTN number,results
2011-006119-70,NA,US NCT number,protocol
2011-006119-70,NA,other,protocol
2011-006119-70,NA,US NCT number,results
2011-006119-70,NA,ISRCTN number,results
2012-000416-28,NA,US NCT number,protocol
2012-000416-28,NA,other,protocol
2012-000416-28,NA,US NCT number,results
2012-000416-28,NA,ISRCTN number,results
2010-023426-20,NA,US NCT number,protocol
2010-023426-20,NA,other,protocol
2010-023426-20,NA,US NCT number,results
2010-023426-20,NA,ISRCTN number,results
2010-022467-36,NA,US NCT number,protocol
2010-022467-36,NA,other,protocol
2010-022467-36,NA,US NCT number,results
2010-022467-36,NA,ISRCTN number,results
2011-006271-18,NA,US NCT number,protocol
2011-006271-18,NA,other,protocol
2011-006271-18,NA,US NCT number,results
2011-006271-18,NA,ISRCTN number,results
2012-000632-26,NCT01651780,US NCT number,protocol
2012-000632-26,NA,other,protocol
2012-000632-26,NCT01651780,US NCT number,results
2012-000632-26,NA,ISRCTN number,results
2011-004301-24,NCT01656135,US NCT number,protocol
2011-004301-24,NA,other,protocol
2011-004301-24,NCT01656135,US NCT number,results
2011-004301-24,NA,ISRCTN number,results
2012-000777-23,NA,US NCT number,protocol
2012-000777-23,NA,other,protocol
2012-000777-23,NCT01657305,US NCT number,results
2012-000777-23,NA,ISRCTN number,results
2010-022938-85,NA,US NCT number,protocol
2010-022938-85,NA,other,protocol
2010-022938-85,NA,US NCT number,results
2010-022938-85,NA,ISRCTN number,results
2012-001942-16,NCT01682720,US NCT number,protocol
2012-001942-16,NA,other,protocol
2012-001942-16,NCT01682720,US NCT number,results
2012-001942-16,NA,ISRCTN number,results
2011-004405-25,NA,US NCT number,protocol
2011-004405-25,NA,other,protocol
2011-004405-25,NA,US NCT number,results
2011-004405-25,NA,ISRCTN number,results
2012-000295-42,NA,US NCT number,protocol
2012-000295-42,IND number 115028,other,protocol
2012-000295-42,NCT01694849,US NCT number,results
2012-000295-42,NA,ISRCTN number,results
2009-018077-31,NCT01701479,US NCT number,protocol
2009-018077-31,NA,other,protocol
2009-018077-31,NA,US NCT number,results
2009-018077-31,NA,ISRCTN number,results
2012-002359-40,NA,US NCT number,protocol
2012-002359-40,NA,other,protocol
2012-002359-40,NCT01703832,US NCT number,results
2012-002359-40,NA,ISRCTN number,results
2011-005872-41,NA,US NCT number,protocol
2011-005872-41,NA,other,protocol
2011-005872-41,NCT01713426,US NCT number,results
2011-005872-41,NA,ISRCTN number,results
2010-022854-18,NA,US NCT number,protocol
2010-022854-18,NA,other,protocol
2010-022854-18,NCT01724879,US NCT number,results
2010-022854-18,NA,ISRCTN number,results
2011-005939-78,NA,US NCT number,protocol
2011-005939-78,NA,other,protocol
2011-005939-78,NA,US NCT number,results
2011-005939-78,NA,ISRCTN number,results
2010-020693-42,NA,US NCT number,protocol
2010-020693-42,NA,other,protocol
2010-020693-42,NA,US NCT number,results
2010-020693-42,NA,ISRCTN number,results
2011-001963-37,NA,US NCT number,protocol
2011-001963-37,NA,other,protocol
2011-001963-37,NA,US NCT number,results
2011-001963-37,NA,ISRCTN number,results
2012-003570-77,NA,US NCT number,protocol
2012-003570-77,NA,other,protocol
2012-003570-77,NCT01743768,US NCT number,results
2012-003570-77,NA,ISRCTN number,results
2012-001815-21,NA,US NCT number,protocol
2012-001815-21,Reformatted protocol number EB01-ABH001,other,protocol
2012-001815-21,NCT01749306,US NCT number,results
2012-001815-21,NA,ISRCTN number,results
2012-002529-30,NA,US NCT number,protocol
2012-002529-30,NA,other,protocol
2012-002529-30,NA,US NCT number,results
2012-002529-30,NA,ISRCTN number,results
2011-005296-16,NA,US NCT number,protocol
2011-005296-16,NA,other,protocol
2011-005296-16,NA,US NCT number,results
2011-005296-16,NA,ISRCTN number,results
2011-004777-89,NA,US NCT number,protocol
2011-004777-89,NA,other,protocol
2011-004777-89,NA,US NCT number,results
2011-004777-89,NA,ISRCTN number,results
2012-000531-88,NA,US NCT number,protocol
2012-000531-88,NA,other,protocol
2012-000531-88,NA,US NCT number,results
2012-000531-88,NA,ISRCTN number,results
2012-003954-95,NA,US NCT number,protocol
2012-003954-95,NA,other,protocol
2012-003954-95,NA,US NCT number,results
2012-003954-95,NA,ISRCTN number,results
2012-001947-31,NA,US NCT number,protocol
2012-001947-31,NA,other,protocol
2012-001947-31,NA,US NCT number,results
2012-001947-31,NA,ISRCTN number,results
2012-002278-30,NA,US NCT number,protocol
2012-002278-30,NA,other,protocol
2012-002278-30,NA,US NCT number,results
2012-002278-30,NA,ISRCTN number,results
2012-001134-33,NA,US NCT number,protocol
2012-001134-33,NA,other,protocol
2012-001134-33,NA,US NCT number,results
2012-001134-33,NA,ISRCTN number,results
2012-003217-33,NA,US NCT number,protocol
2012-003217-33,NA,other,protocol
2012-003217-33,NA,US NCT number,results
2012-003217-33,NA,ISRCTN number,results
2012-003286-18,NA,US NCT number,protocol
2012-003286-18,NA,other,protocol
2012-003286-18,NCT01853384,US NCT number,results
2012-003286-18,NA,ISRCTN number,results
2011-004482-32,NA,US NCT number,protocol
2011-004482-32,NA,other,protocol
2011-004482-32,NCT01879241,US NCT number,results
2011-004482-32,NA,ISRCTN number,results
2013-000621-30,NA,US NCT number,protocol
2013-000621-30,NA,other,protocol
2013-000621-30,NCT01880697,US NCT number,results
2013-000621-30,NA,ISRCTN number,results
2012-002699-14,NA,US NCT number,protocol
2012-002699-14,NA,other,protocol
2012-002699-14,NCT01883531,US NCT number,results
2012-002699-14,NA,ISRCTN number,results
2012-005686-12,NA,US NCT number,protocol
2012-005686-12,NA,other,protocol
2012-005686-12,NCT01885000,US NCT number,results
2012-005686-12,NA,ISRCTN number,results
2013-000601-23,NA,US NCT number,protocol
2013-000601-23,NA,other,protocol
2013-000601-23,NCT01885117,US NCT number,results
2013-000601-23,NA,ISRCTN number,results
2012-003858-81,NA,US NCT number,protocol
2012-003858-81,NA,other,protocol
2012-003858-81,NA,US NCT number,results
2012-003858-81,NA,ISRCTN number,results
2011-006041-14,NA,US NCT number,protocol
2011-006041-14,NA,other,protocol
2011-006041-14,NCT01928433,US NCT number,results
2011-006041-14,NA,ISRCTN number,results
2013-001113-32,NA,US NCT number,protocol
2013-001113-32,NA,other,protocol
2013-001113-32,NCT01937767,US NCT number,results
2013-001113-32,NA,ISRCTN number,results
2012-005439-10,NA,US NCT number,protocol
2012-005439-10,NA,other,protocol
2012-005439-10,NCT01968239,US NCT number,results
2012-005439-10,NA,ISRCTN number,results
2013-001632-21,NA,US NCT number,protocol
2013-001632-21,NA,other,protocol
2013-001632-21,NA,US NCT number,results
2013-001632-21,NA,ISRCTN number,results
2013-000068-27,NCT02027805,US NCT number,protocol
2013-000068-27,Dutch Competent Authority NL42209.091.13,other,protocol
2013-000068-27,NCT02027805,US NCT number,results
2013-000068-27,NA,ISRCTN number,results
2013-002416-27,NA,US NCT number,protocol
2013-002416-27,NA,other,protocol
2013-002416-27,NA,US NCT number,results
2013-002416-27,NA,ISRCTN number,results
2013-000931-28,NA,US NCT number,protocol
2013-000931-28,NA,other,protocol
2013-000931-28,NCT01899599,US NCT number,results
2013-000931-28,NA,ISRCTN number,results
2013-002755-15,NA,US NCT number,protocol
2013-002755-15,NA,other,protocol
2013-002755-15,NCT02054351,US NCT number,results
2013-002755-15,NA,ISRCTN number,results
2012-003882-17,NA,US NCT number,protocol
2012-003882-17,NA,other,protocol
2012-003882-17,NCT02071615,US NCT number,results
2012-003882-17,NA,ISRCTN number,results
2012-003859-12,NCT02077309,US NCT number,protocol
2012-003859-12,NA,other,protocol
2012-003859-12,NA,US NCT number,results
2012-003859-12,NA,ISRCTN number,results
2008-008474-31,NA,US NCT number,protocol
2008-008474-31,NA,other,protocol
2008-008474-31,NCT02094287,US NCT number,results
2008-008474-31,ISRCTN12345678,ISRCTN number,results
2005-005714-20,NA,US NCT number,protocol
2005-005714-20,NA,other,protocol
2005-005714-20,NA,US NCT number,results
2005-005714-20,NA,ISRCTN number,results
2013-004489-32,NA,US NCT number,protocol
2013-004489-32,NA,other,protocol
2013-004489-32,NA,US NCT number,results
2013-004489-32,NA,ISRCTN number,results
2013-004604-19,NA,US NCT number,protocol
2013-004604-19,NA,other,protocol
2013-004604-19,NA,US NCT number,results
2013-004604-19,NA,ISRCTN number,results
2014-000477-39,NCT02198482,US NCT number,protocol
2014-000477-39,NA,other,protocol
2014-000477-39,NCT02198482,US NCT number,results
2014-000477-39,NA,ISRCTN number,results
2013-000522-58,NA,US NCT number,protocol
2013-000522-58,NA,other,protocol
2013-000522-58,NA,US NCT number,results
2013-000522-58,NA,ISRCTN number,results
2014-002442-45,NCT02227550,US NCT number,protocol
2014-002442-45,NA,other,protocol
2014-002442-45,NCT02227550,US NCT number,results
2014-002442-45,ISRCTN87711003,ISRCTN number,results
2012-004240-30,NA,US NCT number,protocol
2012-004240-30,NA,other,protocol
2012-004240-30,NA,US NCT number,results
2012-004240-30,NA,ISRCTN number,results
2013-001037-40,NA,US NCT number,protocol
2013-001037-40,NA,other,protocol
2013-001037-40,NA,US NCT number,results
2013-001037-40,NA,ISRCTN number,results
2009-015936-14,NA,US NCT number,protocol
2009-015936-14,NA,other,protocol
2009-015936-14,NA,US NCT number,results
2009-015936-14,NA,ISRCTN number,results
2014-000816-32,NA,US NCT number,protocol
2014-000816-32,NA,other,protocol
2014-000816-32,NA,US NCT number,results
2014-000816-32,NA,ISRCTN number,results
2013-000338-37,NA,US NCT number,protocol
2013-000338-37,NA,other,protocol
2013-000338-37,NCT02307396,US NCT number,results
2013-000338-37,NA,ISRCTN number,results
2013-001081-42,NA,US NCT number,protocol
2013-001081-42,NA,other,protocol
2013-001081-42,NA,US NCT number,results
2013-001081-42,NA,ISRCTN number,results
2013-004616-21,NA,US NCT number,protocol
2013-004616-21,NA,other,protocol
2013-004616-21,NCT02325440,US NCT number,results
2013-004616-21,NA,ISRCTN number,results
2014-002363-15,NA,US NCT number,protocol
2014-002363-15,NA,other,protocol
2014-002363-15,NA,US NCT number,results
2014-002363-15,NA,ISRCTN number,results
2014-005306-37,NA,US NCT number,protocol
2014-005306-37,NA,other,protocol
2014-005306-37,NA,US NCT number,results
2014-005306-37,NA,ISRCTN number,results
2015-001868-19,NA,US NCT number,protocol
2015-001868-19,NA,other,protocol
2015-001868-19,NA,US NCT number,results
2015-001868-19,NA,ISRCTN number,results
2014-001983-36,NA,US NCT number,protocol
2014-001983-36,NA,other,protocol
2014-001983-36,NA,US NCT number,results
2014-001983-36,NA,ISRCTN number,results
2015-003036-12,NA,US NCT number,protocol
2015-003036-12,NA,other,protocol
2015-003036-12,NA,US NCT number,results
2015-003036-12,NA,ISRCTN number,results
2016-003962-24,NA,US NCT number,protocol
2016-003962-24,NA,other,protocol
2016-003962-24,NA,US NCT number,results
2016-003962-24,NA,ISRCTN number,results
2007-005376-13,NA,US NCT number,protocol
2007-005376-13,NA,other,protocol
2007-005376-13,NA,US NCT number,results
2007-005376-13,NA,ISRCTN number,results
2006-007021-32,NA,US NCT number,protocol
2006-007021-32,NA,other,protocol
2006-007021-32,NCT00514514,US NCT number,results
2006-007021-32,NA,ISRCTN number,results
2008-001833-87,NA,US NCT number,protocol
2008-001833-87,NA,other,protocol
2008-001833-87,NA,US NCT number,results
2008-001833-87,NA,ISRCTN number,results
2009-009871-36,NA,US NCT number,protocol
2009-009871-36,NA,other,protocol
2009-009871-36,NA,US NCT number,results
2009-009871-36,NA,ISRCTN number,results
2010-020403-75,NA,US NCT number,protocol
2010-020403-75,NA,other,protocol
2010-020403-75,NA,US NCT number,results
2010-020403-75,NA,ISRCTN number,results
2008-003064-19,NA,US NCT number,protocol
2008-003064-19,NA,other,protocol
2008-003064-19,NA,US NCT number,results
2008-003064-19,NA,ISRCTN number,results
2009-013956-62,NA,US NCT number,protocol
2009-013956-62,NA,other,protocol
2009-013956-62,NA,US NCT number,results
2009-013956-62,NA,ISRCTN number,results
2010-018892-20,NA,US NCT number,protocol
2010-018892-20,NA,other,protocol
2010-018892-20,NA,US NCT number,results
2010-018892-20,NA,ISRCTN number,results
2010-019715-38,NA,US NCT number,protocol
2010-019715-38,NA,other,protocol
2010-019715-38,NA,US NCT number,results
2010-019715-38,NA,ISRCTN number,results
2009-017347-33,NA,US NCT number,protocol
2009-017347-33,NA,other,protocol
2009-017347-33,NA,US NCT number,results
2009-017347-33,NA,ISRCTN number,results
2008-007645-31,NA,US NCT number,protocol
2008-007645-31,NA,other,protocol
2008-007645-31,NCT00989352,US NCT number,results
2008-007645-31,NA,ISRCTN number,results
2009-015749-22,NA,US NCT number,protocol
2009-015749-22,NA,other,protocol
2009-015749-22,NA,US NCT number,results
2009-015749-22,NA,ISRCTN number,results
2009-016907-41,NA,US NCT number,protocol
2009-016907-41,NA,other,protocol
2009-016907-41,NA,US NCT number,results
2009-016907-41,NA,ISRCTN number,results
2010-022057-42,NA,US NCT number,protocol
2010-022057-42,NA,other,protocol
2010-022057-42,NA,US NCT number,results
2010-022057-42,NA,ISRCTN number,results
2008-000782-35,NA,US NCT number,protocol
2008-000782-35,NA,other,protocol
2008-000782-35,NA,US NCT number,results
2008-000782-35,NA,ISRCTN number,results
2008-008555-41,NA,US NCT number,protocol
2008-008555-41,NA,other,protocol
2008-008555-41,NA,US NCT number,results
2008-008555-41,NA,ISRCTN number,results
2009-017261-32,NA,US NCT number,protocol
2009-017261-32,AIO AIO-STS-009,other,protocol
2009-017261-32,NA,US NCT number,results
2009-017261-32,NA,ISRCTN number,results
2011-000152-42,NA,US NCT number,protocol
2011-000152-42,NA,other,protocol
2011-000152-42,NA,US NCT number,results
2011-000152-42,NA,ISRCTN number,results
2010-021782-70,NA,US NCT number,protocol
2010-021782-70,NA,other,protocol
2010-021782-70,NA,US NCT number,results
2010-021782-70,NA,ISRCTN number,results
2010-022864-12,NA,US NCT number,protocol
2010-022864-12,NA,other,protocol
2010-022864-12,NA,US NCT number,results
2010-022864-12,NA,ISRCTN number,results
2011-001819-30,NA,US NCT number,protocol
2011-001819-30,NA,other,protocol
2011-001819-30,NA,US NCT number,results
2011-001819-30,NA,ISRCTN number,results
2011-005628-16,NA,US NCT number,protocol
2011-005628-16,DRKS-Number DRKS00003349,other,protocol
2011-005628-16,NA,US NCT number,results
2011-005628-16,NA,ISRCTN number,results
2011-000624-16,NA,US NCT number,protocol
2011-000624-16,NA,other,protocol
2011-000624-16,NA,US NCT number,results
2011-000624-16,NA,ISRCTN number,results
2010-023414-31,NA,US NCT number,protocol
2010-023414-31,NA,other,protocol
2010-023414-31,NA,US NCT number,results
2010-023414-31,NA,ISRCTN number,results
2011-001765-41,NA,US NCT number,protocol
2011-001765-41,NA,other,protocol
2011-001765-41,NA,US NCT number,results
2011-001765-41,NA,ISRCTN number,results
2005-000454-73,NCT00179621,US NCT number,protocol
2005-000454-73,NA,other,protocol
2005-000454-73,NA,US NCT number,results
2005-000454-73,NA,ISRCTN number,results
2005-000454-73,NCT00179621,US NCT number,protocol
2005-000454-73,NA,other,protocol
2005-000454-73,NA,US NCT number,results
2005-000454-73,NA,ISRCTN number,results
2006-005970-26,NA,US NCT number,protocol
2006-005970-26,NA,other,protocol
2006-005970-26,NA,US NCT number,results
2006-005970-26,NA,ISRCTN number,results
2006-005970-26,NA,US NCT number,protocol
2006-005970-26,NA,other,protocol
2006-005970-26,NA,US NCT number,results
2006-005970-26,NA,ISRCTN number,results
2005-001347-37,NA,US NCT number,protocol
2005-001347-37,NA,other,protocol
2005-001347-37,NA,US NCT number,results
2005-001347-37,NA,ISRCTN number,results
2011-004361-32,NA,US NCT number,protocol
2011-004361-32,NA,other,protocol
2011-004361-32,NA,US NCT number,results
2011-004361-32,NA,ISRCTN number,results
2007-004528-19,NA,US NCT number,protocol
2007-004528-19,NA,other,protocol
2007-004528-19,NA,US NCT number,results
2007-004528-19,NA,ISRCTN number,results
2006-006370-25,NA,US NCT number,protocol
2006-006370-25,NA,other,protocol
2006-006370-25,NA,US NCT number,results
2006-006370-25,NA,ISRCTN number,results
2006-006370-25,NA,US NCT number,protocol
2006-006370-25,NA,other,protocol
2006-006370-25,NA,US NCT number,results
2006-006370-25,NA,ISRCTN number,results
2005-002716-16,NA,US NCT number,protocol
2005-002716-16,NA,other,protocol
2005-002716-16,NA,US NCT number,results
2005-002716-16,NA,ISRCTN number,results
2005-002716-16,NA,US NCT number,protocol
2005-002716-16,NA,other,protocol
2005-002716-16,NA,US NCT number,results
2005-002716-16,NA,ISRCTN number,results
2004-001307-35,NA,US NCT number,protocol
2004-001307-35,NA,other,protocol
2004-001307-35,NA,US NCT number,results
2004-001307-35,NA,ISRCTN number,results
2004-001307-35,NA,US NCT number,protocol
2004-001307-35,NA,other,protocol
2004-001307-35,NA,US NCT number,results
2004-001307-35,NA,ISRCTN number,results
2012-003281-40,NA,US NCT number,protocol
2012-003281-40,NA,other,protocol
2012-003281-40,NA,US NCT number,results
2012-003281-40,NA,ISRCTN number,results
2011-006250-90,NA,US NCT number,protocol
2011-006250-90,NA,other,protocol
2011-006250-90,NA,US NCT number,results
2011-006250-90,NA,ISRCTN number,results
2007-000579-40,NA,US NCT number,protocol
2007-000579-40,NA,other,protocol
2007-000579-40,NA,US NCT number,results
2007-000579-40,NA,ISRCTN number,results
2013-001599-40,NA,US NCT number,protocol
2013-001599-40,DRKS DRKS00004858,other,protocol
2013-001599-40,NA,US NCT number,results
2013-001599-40,NA,ISRCTN number,results
2011-004393-28,NA,US NCT number,protocol
2011-004393-28,NA,other,protocol
2011-004393-28,NA,US NCT number,results
2011-004393-28,NA,ISRCTN number,results
2011-004393-28,NA,US NCT number,protocol
2011-004393-28,NA,other,protocol
2011-004393-28,NA,US NCT number,results
2011-004393-28,NA,ISRCTN number,results
2009-013702-14,NA,US NCT number,protocol
2009-013702-14,NA,other,protocol
2009-013702-14,NA,US NCT number,results
2009-013702-14,NA,ISRCTN number,results
2009-013702-14,NA,US NCT number,protocol
2009-013702-14,NA,other,protocol
2009-013702-14,NA,US NCT number,results
2009-013702-14,NA,ISRCTN number,results
2013-000107-17,NA,US NCT number,protocol
2013-000107-17,NA,other,protocol
2013-000107-17,NA,US NCT number,results
2013-000107-17,NA,ISRCTN number,results
2013-000107-17,NA,US NCT number,protocol
2013-000107-17,NA,other,protocol
2013-000107-17,NA,US NCT number,results
2013-000107-17,NA,ISRCTN number,results
2012-005312-26,NA,US NCT number,protocol
2012-005312-26,NA,other,protocol
2012-005312-26,NA,US NCT number,results
2012-005312-26,NA,ISRCTN number,results
2012-005312-26,NA,US NCT number,protocol
2012-005312-26,NA,other,protocol
2012-005312-26,NA,US NCT number,results
2012-005312-26,NA,ISRCTN number,results
2012-004585-18,NA,US NCT number,protocol
2012-004585-18,NA,other,protocol
2012-004585-18,NA,US NCT number,results
2012-004585-18,NA,ISRCTN number,results
2012-004442-15,NA,US NCT number,protocol
2012-004442-15,DRKS DRKS00005455,other,protocol
2012-004442-15,NA,US NCT number,results
2012-004442-15,NA,ISRCTN number,results
2012-004442-15,NA,US NCT number,protocol
2012-004442-15,DRKS DRKS00005455,other,protocol
2012-004442-15,NA,US NCT number,results
2012-004442-15,NA,ISRCTN number,results
2013-001601-85,NA,US NCT number,protocol
2013-001601-85,NA,other,protocol
2013-001601-85,NA,US NCT number,results
2013-001601-85,NA,ISRCTN number,results
2014-001148-40,NA,US NCT number,protocol
2014-001148-40,NA,other,protocol
2014-001148-40,NA,US NCT number,results
2014-001148-40,NA,ISRCTN number,results
2013-004353-24,NA,US NCT number,protocol
2013-004353-24,NA,other,protocol
2013-004353-24,NA,US NCT number,results
2013-004353-24,NA,ISRCTN number,results
2013-004353-24,NA,US NCT number,protocol
2013-004353-24,NA,other,protocol
2013-004353-24,NA,US NCT number,results
2013-004353-24,NA,ISRCTN number,results
2013-001081-42,NA,US NCT number,protocol
2013-001081-42,NA,other,protocol
2013-001081-42,NA,US NCT number,results
2013-001081-42,NA,ISRCTN number,results
2014-003022-40,NA,US NCT number,protocol
2014-003022-40,NA,other,protocol
2014-003022-40,NA,US NCT number,results
2014-003022-40,NA,ISRCTN number,results
2015-002365-34,NA,US NCT number,protocol
2015-002365-34,NA,other,protocol
2015-002365-34,NCT02606760,US NCT number,results
2015-002365-34,NA,ISRCTN number,results
2015-000460-34,NA,US NCT number,protocol
2015-000460-34,NA,other,protocol
2015-000460-34,NA,US NCT number,results
2015-000460-34,NA,ISRCTN number,results
2015-005071-25,NA,US NCT number,protocol
2015-005071-25,NA,other,protocol
2015-005071-25,NA,US NCT number,results
2015-005071-25,NA,ISRCTN number,results
2012-001582-33,NA,US NCT number,protocol
2012-001582-33,NA,other,protocol
2012-001582-33,NA,US NCT number,results
2012-001582-33,NA,ISRCTN number,results
2012-001583-29,NA,US NCT number,protocol
2012-001583-29,NA,other,protocol
2012-001583-29,NA,US NCT number,results
2012-001583-29,NA,ISRCTN number,results
